flightNumber,departureCity,arrivalCity,departureTime,OrderID,ItemID,ItemName,UserID,SeatNumber,itemPrice,quantity,status,orderTime,itemWeight
110,Melbourne,Changi,2023-06-23 18:58:20,18,3,Sandwich,2,B1,12.0,5,Success,2023-06-23 20:58:20,0.3
105,Changi,Melbourne,2023-06-20 11:38:20,19,1,Briyani,30,A2,25.0,4,Success,2023-06-20 13:38:20,0.5
106,Bangkok,Changi,2023-06-21 23:25:20,20,10,Hoodie,77,C3,70.0,2,Success,2023-06-21 23:25:20,1.5
103,Manila,Changi,2023-06-20 12:38:20,21,2,Nasi Lemak,64,C1,15.0,5,Success,2023-06-20 22:38:20,0.7
108,Changi,Manila,2023-06-24 16:46:20,22,8,Plane Miniature,71,A2,50.0,2,Success,2023-06-24 20:46:20,0.8
102,Jakarta,Bangkok,2023-06-24 07:03:20,23,9,Perfume,90,C1,80.0,2,Success,2023-06-24 18:03:20,0.2
105,Changi,Melbourne,2023-06-19 12:54:20,24,5,Dumplings,81,A3,20.0,3,Success,2023-06-19 17:54:20,0.4
108,Changi,Manila,2023-06-22 02:21:20,25,2,Nasi Lemak,55,C3,15.0,2,Success,2023-06-22 10:21:20,0.7
102,Jakarta,Bangkok,2023-06-19 06:51:20,26,4,Sushi,14,C3,30.0,4,Success,2023-06-19 13:51:20,0.2
109,Jakarta,Bangkok,2023-06-21 19:47:20,27,6,Coke,63,B3,5.0,2,Success,2023-06-21 23:47:20,0.1
106,Bangkok,Changi,2023-06-20 12:09:20,28,10,Hoodie,21,C1,70.0,2,Success,2023-06-20 18:09:20,1.5
106,Bangkok,Changi,2023-06-18 22:19:20,29,9,Perfume,21,B1,80.0,3,Success,2023-06-19 03:19:20,0.2
100,Changi,Bangkok,2023-06-18 00:24:20,30,8,Plane Miniature,11,B2,50.0,5,Success,2023-06-18 01:24:20,0.8
110,Melbourne,Changi,2023-06-18 13:16:20,31,9,Perfume,56,B3,80.0,1,Success,2023-06-19 00:16:20,0.2
103,Manila,Changi,2023-06-21 04:34:20,32,8,Plane Miniature,76,B2,50.0,5,Success,2023-06-21 07:34:20,0.8
107,Jakarta,Changi,2023-06-21 16:46:20,33,2,Nasi Lemak,33,C3,15.0,4,Success,2023-06-22 00:46:20,0.7
104,Changi,Kuching,2023-06-23 23:07:20,34,7,Beer,86,A2,8.0,2,Success,2023-06-24 01:07:20,0.3
107,Jakarta,Changi,2023-06-22 05:54:20,35,8,Plane Miniature,100,B2,50.0,5,Success,2023-06-22 16:54:20,0.8
104,Changi,Kuching,2023-06-20 11:35:20,36,6,Coke,87,C3,5.0,3,Success,2023-06-20 12:35:20,0.1
107,Jakarta,Changi,2023-06-20 11:44:20,37,2,Nasi Lemak,49,A2,15.0,4,Success,2023-06-20 21:44:20,0.7
104,Changi,Kuching,2023-06-23 14:43:20,38,1,Briyani,70,A1,25.0,5,Success,2023-06-23 17:43:20,0.5
110,Melbourne,Changi,2023-06-23 03:00:20,39,9,Perfume,60,B1,80.0,5,Success,2023-06-23 13:00:20,0.2
102,Jakarta,Bangkok,2023-06-22 16:43:20,40,9,Perfume,100,C1,80.0,3,Success,2023-06-23 01:43:20,0.2
109,Jakarta,Bangkok,2023-06-23 03:18:20,41,9,Perfume,76,A1,80.0,4,Success,2023-06-23 08:18:20,0.2
103,Manila,Changi,2023-06-22 12:46:20,42,10,Hoodie,68,A1,70.0,5,Success,2023-06-22 21:46:20,1.5
108,Changi,Manila,2023-06-18 10:29:20,43,5,Dumplings,52,A3,20.0,5,Success,2023-06-18 10:29:20,0.4
106,Bangkok,Changi,2023-06-18 01:28:20,44,10,Hoodie,19,C1,70.0,1,Success,2023-06-18 03:28:20,1.5
101,Changi,Jakarta,2023-06-19 04:42:20,45,6,Coke,83,A2,5.0,1,Success,2023-06-19 05:42:20,0.1
109,Jakarta,Bangkok,2023-06-23 03:18:20,46,1,Briyani,51,B1,25.0,5,Success,2023-06-23 09:18:20,0.5
110,Melbourne,Changi,2023-06-19 07:52:20,47,8,Plane Miniature,67,A3,50.0,2,Success,2023-06-19 10:52:20,0.8
102,Jakarta,Bangkok,2023-06-20 08:36:20,48,7,Beer,81,C3,8.0,2,Success,2023-06-20 12:36:20,0.3
109,Jakarta,Bangkok,2023-06-18 05:15:20,49,7,Beer,13,C2,8.0,2,Success,2023-06-18 05:15:20,0.3
100,Changi,Bangkok,2023-06-20 07:03:20,50,2,Nasi Lemak,5,B1,15.0,2,Success,2023-06-20 17:03:20,0.7
108,Changi,Manila,2023-06-18 10:29:20,51,9,Perfume,36,B3,80.0,5,Success,2023-06-18 12:29:20,0.2
104,Changi,Kuching,2023-06-23 14:43:20,52,8,Plane Miniature,23,C3,50.0,3,Success,2023-06-24 01:43:20,0.8
103,Manila,Changi,2023-06-22 12:46:20,53,2,Nasi Lemak,79,C3,15.0,3,Success,2023-06-22 15:46:20,0.7
109,Jakarta,Bangkok,2023-06-21 23:22:20,54,6,Coke,78,B2,5.0,5,Success,2023-06-22 07:22:20,0.1
110,Melbourne,Changi,2023-06-21 19:06:20,55,9,Perfume,38,A1,80.0,3,Success,2023-06-22 06:06:20,0.2
106,Bangkok,Changi,2023-06-21 23:25:20,56,7,Beer,92,B3,8.0,5,Success,2023-06-22 08:25:20,0.3
100,Changi,Bangkok,2023-06-23 20:03:20,57,1,Briyani,89,B2,25.0,5,Success,2023-06-24 07:03:20,0.5
109,Jakarta,Bangkok,2023-06-23 03:18:20,58,6,Coke,2,B3,5.0,2,Success,2023-06-23 13:18:20,0.1
101,Changi,Jakarta,2023-06-20 11:23:20,59,1,Briyani,57,C3,25.0,1,Success,2023-06-20 17:23:20,0.5
100,Changi,Bangkok,2023-06-18 17:05:20,60,7,Beer,5,B2,8.0,3,Success,2023-06-19 04:05:20,0.3
106,Bangkok,Changi,2023-06-21 23:25:20,61,8,Plane Miniature,44,C3,50.0,4,Success,2023-06-22 01:25:20,0.8
106,Bangkok,Changi,2023-06-21 23:25:20,62,10,Hoodie,70,C1,70.0,5,Success,2023-06-22 10:25:20,1.5
109,Jakarta,Bangkok,2023-06-21 23:22:20,63,6,Coke,68,B1,5.0,5,Success,2023-06-22 01:22:20,0.1
103,Manila,Changi,2023-06-21 11:14:20,64,9,Perfume,50,A2,80.0,1,Success,2023-06-21 13:14:20,0.2
102,Jakarta,Bangkok,2023-06-24 07:03:20,65,8,Plane Miniature,98,C2,50.0,3,Success,2023-06-24 07:03:20,0.8
102,Jakarta,Bangkok,2023-06-19 06:51:20,66,8,Plane Miniature,46,C3,50.0,4,Success,2023-06-19 07:51:20,0.8
103,Manila,Changi,2023-06-20 12:38:20,67,2,Nasi Lemak,8,A2,15.0,3,Success,2023-06-20 19:38:20,0.7
107,Jakarta,Changi,2023-06-22 05:54:20,68,3,Sandwich,54,C1,12.0,5,Success,2023-06-22 14:54:20,0.3
101,Changi,Jakarta,2023-06-18 19:35:20,69,4,Sushi,42,A1,30.0,2,Success,2023-06-18 22:35:20,0.2
104,Changi,Kuching,2023-06-17 18:46:20,70,8,Plane Miniature,15,B3,50.0,1,Success,2023-06-17 18:46:20,0.8
109,Jakarta,Bangkok,2023-06-23 03:18:20,71,6,Coke,93,B2,5.0,5,Success,2023-06-23 15:18:20,0.1
109,Jakarta,Bangkok,2023-06-23 03:18:20,72,7,Beer,3,C3,8.0,1,Success,2023-06-23 08:18:20,0.3
106,Bangkok,Changi,2023-06-20 12:09:20,73,3,Sandwich,59,A1,12.0,2,Success,2023-06-20 14:09:20,0.3
100,Changi,Bangkok,2023-06-20 07:03:20,74,6,Coke,79,C2,5.0,3,Success,2023-06-20 07:03:20,0.1
103,Manila,Changi,2023-06-21 01:44:20,75,3,Sandwich,11,B1,12.0,5,Success,2023-06-21 02:44:20,0.3
107,Jakarta,Changi,2023-06-20 11:44:20,76,1,Briyani,85,B2,25.0,5,Success,2023-06-20 11:44:20,0.5
103,Manila,Changi,2023-06-21 01:44:20,77,2,Nasi Lemak,69,C1,15.0,2,Success,2023-06-21 05:44:20,0.7
107,Jakarta,Changi,2023-06-20 11:44:20,78,3,Sandwich,2,A2,12.0,5,Success,2023-06-20 16:44:20,0.3
106,Bangkok,Changi,2023-06-18 22:19:20,79,9,Perfume,76,A1,80.0,4,Success,2023-06-18 23:19:20,0.2
105,Changi,Melbourne,2023-06-21 04:18:20,80,7,Beer,7,B3,8.0,3,Success,2023-06-21 04:18:20,0.3
109,Jakarta,Bangkok,2023-06-20 02:43:20,81,3,Sandwich,7,B1,12.0,3,Success,2023-06-20 06:43:20,0.3
108,Changi,Manila,2023-06-21 20:27:20,82,9,Perfume,33,C3,80.0,4,Success,2023-06-22 06:27:20,0.2
105,Changi,Melbourne,2023-06-20 11:38:20,83,4,Sushi,10,C1,30.0,5,Success,2023-06-20 16:38:20,0.2
109,Jakarta,Bangkok,2023-06-21 19:47:20,84,6,Coke,67,A1,5.0,2,Success,2023-06-22 04:47:20,0.1
110,Melbourne,Changi,2023-06-19 07:52:20,85,8,Plane Miniature,47,A2,50.0,2,Success,2023-06-19 08:52:20,0.8
107,Jakarta,Changi,2023-06-20 11:44:20,86,3,Sandwich,29,C1,12.0,3,Success,2023-06-20 23:44:20,0.3
101,Changi,Jakarta,2023-06-18 19:35:20,87,10,Hoodie,9,A3,70.0,3,Success,2023-06-19 02:35:20,1.5
107,Jakarta,Changi,2023-06-21 22:18:20,88,3,Sandwich,87,A1,12.0,5,Success,2023-06-22 08:18:20,0.3
101,Changi,Jakarta,2023-06-23 07:02:20,89,6,Coke,52,B2,5.0,4,Success,2023-06-23 14:02:20,0.1
107,Jakarta,Changi,2023-06-23 07:17:20,90,2,Nasi Lemak,55,A1,15.0,5,Success,2023-06-23 08:17:20,0.7
102,Jakarta,Bangkok,2023-06-22 16:43:20,91,7,Beer,29,B3,8.0,4,Success,2023-06-23 02:43:20,0.3
101,Changi,Jakarta,2023-06-19 04:42:20,92,6,Coke,34,A3,5.0,2,Success,2023-06-19 10:42:20,0.1
108,Changi,Manila,2023-06-20 14:11:20,93,9,Perfume,69,C3,80.0,2,Success,2023-06-21 02:11:20,0.2
105,Changi,Melbourne,2023-06-20 20:04:20,94,7,Beer,97,B1,8.0,2,Success,2023-06-21 07:04:20,0.3
106,Bangkok,Changi,2023-06-21 23:25:20,95,9,Perfume,81,C1,80.0,3,Success,2023-06-22 08:25:20,0.2
105,Changi,Melbourne,2023-06-21 04:18:20,96,7,Beer,11,A1,8.0,5,Success,2023-06-21 14:18:20,0.3
105,Changi,Melbourne,2023-06-19 12:54:20,97,6,Coke,93,B3,5.0,1,Success,2023-06-19 14:54:20,0.1
102,Jakarta,Bangkok,2023-06-24 01:11:20,98,9,Perfume,17,C2,80.0,5,Success,2023-06-24 09:11:20,0.2
107,Jakarta,Changi,2023-06-21 16:46:20,99,5,Dumplings,76,A2,20.0,1,Success,2023-06-21 22:46:20,0.4
108,Changi,Manila,2023-06-18 10:29:20,100,8,Plane Miniature,44,A2,50.0,2,Success,2023-06-18 17:29:20,0.8
108,Changi,Manila,2023-06-20 14:11:20,101,7,Beer,79,C1,8.0,3,Success,2023-06-21 01:11:20,0.3
100,Changi,Bangkok,2023-06-18 17:05:20,102,3,Sandwich,47,C1,12.0,2,Success,2023-06-19 05:05:20,0.3
108,Changi,Manila,2023-06-22 02:21:20,103,5,Dumplings,8,A1,20.0,5,Success,2023-06-22 08:21:20,0.4
108,Changi,Manila,2023-06-24 16:46:20,104,9,Perfume,37,C3,80.0,3,Success,2023-06-25 04:46:20,0.2
110,Melbourne,Changi,2023-06-21 19:06:20,105,8,Plane Miniature,48,B3,50.0,2,Success,2023-06-21 22:06:20,0.8
110,Melbourne,Changi,2023-06-23 03:00:20,106,10,Hoodie,54,B2,70.0,1,Success,2023-06-23 07:00:20,1.5
106,Bangkok,Changi,2023-06-18 22:19:20,107,10,Hoodie,18,B2,70.0,4,Success,2023-06-19 07:19:20,1.5
103,Manila,Changi,2023-06-22 12:46:20,108,5,Dumplings,31,A2,20.0,2,Success,2023-06-23 00:46:20,0.4
102,Jakarta,Bangkok,2023-06-20 08:36:20,109,6,Coke,14,B2,5.0,4,Success,2023-06-20 15:36:20,0.1
109,Jakarta,Bangkok,2023-06-23 03:18:20,110,1,Briyani,22,A1,25.0,3,Success,2023-06-23 13:18:20,0.5
104,Changi,Kuching,2023-06-17 18:46:20,111,3,Sandwich,71,C1,12.0,3,Success,2023-06-17 18:46:20,0.3
102,Jakarta,Bangkok,2023-06-24 07:03:20,112,7,Beer,11,C2,8.0,2,Success,2023-06-24 16:03:20,0.3
101,Changi,Jakarta,2023-06-23 07:02:20,113,2,Nasi Lemak,13,B3,15.0,5,Success,2023-06-23 12:02:20,0.7
107,Jakarta,Changi,2023-06-21 16:46:20,114,2,Nasi Lemak,42,C3,15.0,1,Success,2023-06-21 16:46:20,0.7
102,Jakarta,Bangkok,2023-06-24 01:11:20,115,9,Perfume,51,C1,80.0,2,Success,2023-06-24 03:11:20,0.2
100,Changi,Bangkok,2023-06-18 17:05:20,116,3,Sandwich,52,A2,12.0,3,Success,2023-06-18 17:05:20,0.3
104,Changi,Kuching,2023-06-20 11:35:20,117,8,Plane Miniature,83,A1,50.0,3,Success,2023-06-20 15:35:20,0.8
110,Melbourne,Changi,2023-06-19 07:52:20,118,10,Hoodie,18,A2,70.0,2,Success,2023-06-19 08:52:20,1.5
109,Jakarta,Bangkok,2023-06-21 19:47:20,119,4,Sushi,38,C3,30.0,2,Success,2023-06-22 03:47:20,0.2
102,Jakarta,Bangkok,2023-06-24 01:11:20,120,9,Perfume,31,C2,80.0,1,Success,2023-06-24 11:11:20,0.2
101,Changi,Jakarta,2023-06-20 15:02:20,121,1,Briyani,43,B1,25.0,4,Success,2023-06-20 19:02:20,0.5
106,Bangkok,Changi,2023-06-18 20:32:20,122,9,Perfume,73,A3,80.0,2,Success,2023-06-19 01:32:20,0.2
101,Changi,Jakarta,2023-06-19 04:42:20,123,3,Sandwich,32,B3,12.0,2,Success,2023-06-19 05:42:20,0.3
107,Jakarta,Changi,2023-06-20 11:44:20,124,2,Nasi Lemak,45,B1,15.0,3,Success,2023-06-20 14:44:20,0.7
102,Jakarta,Bangkok,2023-06-24 01:11:20,125,8,Plane Miniature,56,B2,50.0,5,Success,2023-06-24 05:11:20,0.8
107,Jakarta,Changi,2023-06-21 16:46:20,126,1,Briyani,29,B2,25.0,5,Success,2023-06-21 18:46:20,0.5
107,Jakarta,Changi,2023-06-23 07:17:20,127,3,Sandwich,29,B3,12.0,5,Success,2023-06-23 07:17:20,0.3
108,Changi,Manila,2023-06-22 02:21:20,128,8,Plane Miniature,63,A3,50.0,5,Success,2023-06-22 05:21:20,0.8
106,Bangkok,Changi,2023-06-18 01:28:20,129,6,Coke,26,B2,5.0,4,Success,2023-06-18 10:28:20,0.1
110,Melbourne,Changi,2023-06-19 07:52:20,130,5,Dumplings,48,A2,20.0,5,Success,2023-06-19 08:52:20,0.4
104,Changi,Kuching,2023-06-23 23:07:20,131,9,Perfume,84,C2,80.0,1,Success,2023-06-24 10:07:20,0.2
104,Changi,Kuching,2023-06-21 04:39:20,132,8,Plane Miniature,26,A1,50.0,4,Success,2023-06-21 04:39:20,0.8
101,Changi,Jakarta,2023-06-18 19:35:20,133,1,Briyani,25,B3,25.0,4,Success,2023-06-19 00:35:20,0.5
106,Bangkok,Changi,2023-06-18 20:32:20,134,9,Perfume,16,C1,80.0,4,Success,2023-06-19 03:32:20,0.2
103,Manila,Changi,2023-06-21 01:44:20,135,10,Hoodie,76,C2,70.0,1,Success,2023-06-21 10:44:20,1.5
105,Changi,Melbourne,2023-06-19 12:54:20,136,1,Briyani,60,B2,25.0,5,Success,2023-06-20 00:54:20,0.5
104,Changi,Kuching,2023-06-23 14:43:20,137,10,Hoodie,6,C3,70.0,4,Success,2023-06-24 01:43:20,1.5
102,Jakarta,Bangkok,2023-06-20 08:36:20,138,6,Coke,94,A3,5.0,1,Success,2023-06-20 14:36:20,0.1
100,Changi,Bangkok,2023-06-18 00:24:20,139,2,Nasi Lemak,22,A3,15.0,2,Success,2023-06-18 03:24:20,0.7
110,Melbourne,Changi,2023-06-21 19:06:20,140,10,Hoodie,82,C2,70.0,3,Success,2023-06-21 22:06:20,1.5
107,Jakarta,Changi,2023-06-20 11:44:20,141,10,Hoodie,55,B3,70.0,1,Success,2023-06-20 14:44:20,1.5
102,Jakarta,Bangkok,2023-06-24 01:11:20,142,6,Coke,17,A1,5.0,5,Success,2023-06-24 06:11:20,0.1
109,Jakarta,Bangkok,2023-06-20 02:43:20,143,6,Coke,58,B3,5.0,5,Success,2023-06-20 03:43:20,0.1
102,Jakarta,Bangkok,2023-06-22 16:43:20,144,7,Beer,87,B3,8.0,1,Success,2023-06-22 23:43:20,0.3
106,Bangkok,Changi,2023-06-18 22:19:20,145,9,Perfume,7,C3,80.0,1,Success,2023-06-19 05:19:20,0.2
106,Bangkok,Changi,2023-06-18 01:28:20,146,10,Hoodie,22,C2,70.0,3,Success,2023-06-18 06:28:20,1.5
110,Melbourne,Changi,2023-06-23 18:58:20,147,9,Perfume,33,A1,80.0,5,Success,2023-06-23 20:58:20,0.2
109,Jakarta,Bangkok,2023-06-23 03:18:20,148,6,Coke,17,A3,5.0,4,Success,2023-06-23 10:18:20,0.1
109,Jakarta,Bangkok,2023-06-23 03:18:20,149,7,Beer,46,C2,8.0,5,Success,2023-06-23 09:18:20,0.3
101,Changi,Jakarta,2023-06-20 15:02:20,150,5,Dumplings,64,C2,20.0,4,Success,2023-06-20 16:02:20,0.4
100,Changi,Bangkok,2023-06-18 00:24:20,151,1,Briyani,90,B3,25.0,3,Success,2023-06-18 08:24:20,0.5
100,Changi,Bangkok,2023-06-18 17:05:20,152,10,Hoodie,40,B2,70.0,1,Success,2023-06-18 18:05:20,1.5
102,Jakarta,Bangkok,2023-06-24 07:03:20,153,8,Plane Miniature,66,A1,50.0,4,Success,2023-06-24 10:03:20,0.8
107,Jakarta,Changi,2023-06-21 16:46:20,154,4,Sushi,40,A2,30.0,1,Success,2023-06-21 19:46:20,0.2
109,Jakarta,Bangkok,2023-06-21 23:22:20,155,6,Coke,43,C2,5.0,2,Success,2023-06-22 04:22:20,0.1
105,Changi,Melbourne,2023-06-20 20:04:20,156,2,Nasi Lemak,81,A1,15.0,5,Success,2023-06-20 23:04:20,0.7
110,Melbourne,Changi,2023-06-23 18:58:20,157,3,Sandwich,72,C2,12.0,1,Success,2023-06-24 04:58:20,0.3
106,Bangkok,Changi,2023-06-18 20:32:20,158,10,Hoodie,87,A1,70.0,2,Success,2023-06-18 21:32:20,1.5
110,Melbourne,Changi,2023-06-18 13:16:20,159,10,Hoodie,62,A2,70.0,1,Success,2023-06-18 19:16:20,1.5
109,Jakarta,Bangkok,2023-06-21 19:47:20,160,7,Beer,54,B1,8.0,5,Success,2023-06-21 21:47:20,0.3
107,Jakarta,Changi,2023-06-22 05:54:20,161,5,Dumplings,8,C1,20.0,5,Success,2023-06-22 08:54:20,0.4
108,Changi,Manila,2023-06-20 14:11:20,162,10,Hoodie,22,B3,70.0,5,Success,2023-06-21 00:11:20,1.5
102,Jakarta,Bangkok,2023-06-24 07:03:20,163,2,Nasi Lemak,7,C3,15.0,1,Success,2023-06-24 14:03:20,0.7
110,Melbourne,Changi,2023-06-23 18:58:20,164,8,Plane Miniature,15,A2,50.0,3,Success,2023-06-23 23:58:20,0.8
110,Melbourne,Changi,2023-06-19 07:52:20,165,9,Perfume,66,C2,80.0,1,Success,2023-06-19 16:52:20,0.2
102,Jakarta,Bangkok,2023-06-20 08:36:20,166,2,Nasi Lemak,2,B3,15.0,5,Success,2023-06-20 13:36:20,0.7
101,Changi,Jakarta,2023-06-19 04:42:20,167,3,Sandwich,68,C3,12.0,1,Success,2023-06-19 15:42:20,0.3
105,Changi,Melbourne,2023-06-20 11:38:20,168,4,Sushi,24,B1,30.0,3,Success,2023-06-20 23:38:20,0.2
105,Changi,Melbourne,2023-06-21 04:18:20,169,1,Briyani,39,B2,25.0,4,Success,2023-06-21 14:18:20,0.5
109,Jakarta,Bangkok,2023-06-21 19:47:20,170,1,Briyani,96,B3,25.0,4,Success,2023-06-21 19:47:20,0.5
105,Changi,Melbourne,2023-06-18 16:39:20,171,1,Briyani,17,B2,25.0,1,Success,2023-06-18 18:39:20,0.5
108,Changi,Manila,2023-06-24 16:46:20,172,7,Beer,52,B1,8.0,5,Success,2023-06-24 16:46:20,0.3
105,Changi,Melbourne,2023-06-18 16:39:20,173,4,Sushi,69,B1,30.0,4,Success,2023-06-19 04:39:20,0.2
108,Changi,Manila,2023-06-21 20:27:20,174,4,Sushi,56,B3,30.0,4,Success,2023-06-22 08:27:20,0.2
100,Changi,Bangkok,2023-06-24 09:47:20,175,5,Dumplings,8,A2,20.0,1,Success,2023-06-24 19:47:20,0.4
109,Jakarta,Bangkok,2023-06-21 19:47:20,176,6,Coke,35,C1,5.0,4,Success,2023-06-22 05:47:20,0.1
104,Changi,Kuching,2023-06-23 14:43:20,177,7,Beer,32,A3,8.0,1,Success,2023-06-23 14:43:20,0.3
103,Manila,Changi,2023-06-21 04:34:20,178,9,Perfume,11,A3,80.0,3,Success,2023-06-21 08:34:20,0.2
105,Changi,Melbourne,2023-06-18 16:39:20,179,6,Coke,83,C1,5.0,2,Success,2023-06-19 04:39:20,0.1
101,Changi,Jakarta,2023-06-23 07:02:20,180,7,Beer,79,C3,8.0,5,Success,2023-06-23 11:02:20,0.3
104,Changi,Kuching,2023-06-20 11:35:20,181,8,Plane Miniature,42,B2,50.0,1,Success,2023-06-20 13:35:20,0.8
102,Jakarta,Bangkok,2023-06-19 06:51:20,182,6,Coke,29,A1,5.0,2,Success,2023-06-19 16:51:20,0.1
107,Jakarta,Changi,2023-06-23 07:17:20,183,3,Sandwich,7,A1,12.0,2,Success,2023-06-23 11:17:20,0.3
109,Jakarta,Bangkok,2023-06-23 03:18:20,184,6,Coke,10,A1,5.0,2,Success,2023-06-23 08:18:20,0.1
107,Jakarta,Changi,2023-06-20 11:44:20,185,5,Dumplings,44,B1,20.0,4,Success,2023-06-20 20:44:20,0.4
109,Jakarta,Bangkok,2023-06-20 02:43:20,186,6,Coke,13,A1,5.0,1,Success,2023-06-20 09:43:20,0.1
106,Bangkok,Changi,2023-06-18 01:28:20,187,3,Sandwich,8,C3,12.0,2,Success,2023-06-18 02:28:20,0.3
109,Jakarta,Bangkok,2023-06-23 03:18:20,188,6,Coke,3,B1,5.0,5,Success,2023-06-23 07:18:20,0.1
104,Changi,Kuching,2023-06-23 14:43:20,189,6,Coke,91,C1,5.0,2,Success,2023-06-23 22:43:20,0.1
104,Changi,Kuching,2023-06-17 18:46:20,190,6,Coke,66,C3,5.0,3,Success,2023-06-18 06:46:20,0.1
107,Jakarta,Changi,2023-06-21 16:46:20,191,3,Sandwich,65,C1,12.0,5,Success,2023-06-22 03:46:20,0.3
102,Jakarta,Bangkok,2023-06-24 07:03:20,192,7,Beer,87,B2,8.0,5,Success,2023-06-24 09:03:20,0.3
110,Melbourne,Changi,2023-06-18 13:16:20,193,6,Coke,97,B1,5.0,1,Success,2023-06-18 21:16:20,0.1
107,Jakarta,Changi,2023-06-20 11:44:20,194,2,Nasi Lemak,25,B1,15.0,5,Success,2023-06-20 23:44:20,0.7
105,Changi,Melbourne,2023-06-19 12:54:20,195,4,Sushi,57,C2,30.0,2,Success,2023-06-19 18:54:20,0.2
107,Jakarta,Changi,2023-06-23 07:17:20,196,8,Plane Miniature,59,C2,50.0,2,Success,2023-06-23 18:17:20,0.8
105,Changi,Melbourne,2023-06-21 04:18:20,197,2,Nasi Lemak,34,C3,15.0,3,Success,2023-06-21 08:18:20,0.7
102,Jakarta,Bangkok,2023-06-24 01:11:20,198,9,Perfume,2,B3,80.0,4,Success,2023-06-24 03:11:20,0.2
110,Melbourne,Changi,2023-06-19 07:52:20,199,10,Hoodie,95,C2,70.0,5,Success,2023-06-19 17:52:20,1.5
103,Manila,Changi,2023-06-20 12:38:20,200,1,Briyani,76,B3,25.0,5,Success,2023-06-20 15:38:20,0.5
109,Jakarta,Bangkok,2023-06-20 02:43:20,201,10,Hoodie,68,A2,70.0,3,Success,2023-06-20 10:43:20,1.5
100,Changi,Bangkok,2023-06-18 17:05:20,202,3,Sandwich,49,B3,12.0,4,Success,2023-06-19 02:05:20,0.3
103,Manila,Changi,2023-06-21 11:14:20,203,10,Hoodie,9,C2,70.0,1,Success,2023-06-21 23:14:20,1.5
110,Melbourne,Changi,2023-06-21 19:06:20,204,10,Hoodie,4,A3,70.0,5,Success,2023-06-21 22:06:20,1.5
110,Melbourne,Changi,2023-06-19 07:52:20,205,8,Plane Miniature,73,B3,50.0,3,Success,2023-06-19 13:52:20,0.8
101,Changi,Jakarta,2023-06-20 11:23:20,206,8,Plane Miniature,47,B3,50.0,3,Success,2023-06-20 18:23:20,0.8
101,Changi,Jakarta,2023-06-20 15:02:20,207,4,Sushi,10,B3,30.0,3,Success,2023-06-20 19:02:20,0.2
102,Jakarta,Bangkok,2023-06-24 07:03:20,208,1,Briyani,8,A3,25.0,2,Success,2023-06-24 10:03:20,0.5
108,Changi,Manila,2023-06-22 02:21:20,209,9,Perfume,59,B2,80.0,1,Success,2023-06-22 07:21:20,0.2
107,Jakarta,Changi,2023-06-22 05:54:20,210,3,Sandwich,86,B3,12.0,2,Success,2023-06-22 17:54:20,0.3
